action,reward,state,ticker,time
-1,8.0,1331,NFX,1478050205
-1,8.0,1111,CHK,1478050205
-1,8.0,1331,APA,1478050205
-1,8.0,3131,OXY,1478050205
1,88.0,1111,BHI,1478050206
-1,8.0,1111,SWN,1478050206
-1,8.0,1111,RIG,1478050206
-1,88.0,1111,EQT,1478050206
-1,8.0,1311,DVN,1478050206
-1,8.0,3111,SE,1478050207
-1,8.0,1131,WMB,1478050207
-1,8.0,3111,CXO,1478050207
-1,8.0,3331,MPC,1478050207
-1,8.0,1111,RRC,1478050207
-1,8.0,3331,HP,1478050207
-1,8.0,3111,XEC,1478050207
-1,8.0,3311,PXD,1478050207
1,88.0,1331,SPG,1478050216
-1,8.0,3331,MAC,1478050216
-1,8.0,3131,BEN,1478050216
-1,8.0,1111,CME,1478050216
-1,8.0,3331,BLK,1478050217
-1,8.0,3311,HCN,1478050217
1,88.0,3111,CBG,1478050217
-1,8.0,3131,MS,1478050217
-1,8.0,3311,SCHW,1478050217
-1,8.0,3131,GGP,1478050217
-1,8.0,1311,DFS,1478050217
1,88.0,3311,ALL,1478050217
-1,8.0,3111,MMC,1478050217
1,88.0,3331,BAC,1478050217
1,88.0,1111,GS,1478050217
-1,8.0,1111,LM,1478050217
-1,8.0,1311,PGR,1478050218
-1,8.0,3311,HIG,1478050218
-1,8.0,1131,ZION,1478050218
1,88.0,1131,STI,1478050218
1,88.0,1131,STT,1478050218
1,88.0,1331,UDR,1478050218
-1,8.0,3331,PNC,1478050218
1,88.0,1111,AON,1478050218
-1,8.0,1131,PRU,1478050218
-1,8.0,1331,RF,1478050218
1,88.0,3331,HRB,1478050218
-1,8.0,3131,BRKB,1478050219
1,88.0,3331,WFC,1478050219
-1,8.0,3331,DLR,1478050219
1,88.0,3111,LUK,1478050219
1,88.0,3331,LNC,1478050219
-1,8.0,3111,ETFC,1478050219
-1,8.0,3111,XL,1478050219
-1,8.0,1331,CMA,1478050219
-1,8.0,3331,FRT,1478050219
-1,8.0,3331,BBT,1478050219
1,88.0,3131,UNM,1478050219
1,88.0,3131,KEY,1478050219
-1,8.0,3131,HBAN,1478050220
-1,8.0,3111,AJG,1478050220
1,88.0,1311,MCO,1478050220
-1,8.0,3331,PBCT,1478050220
-1,8.0,3331,VTR,1478050220
-1,8.0,1131,AXP,1478050220
-1,8.0,3311,EXR,1478050220
1,88.0,3331,WY,1478050220
-1,8.0,1331,VNO,1478050220
1,88.0,3331,HST,1478050220
-1,8.0,3331,FITB,1478050221
-1,8.0,1111,EQR,1478050221
-1,8.0,3111,KIM,1478050221
1,88.0,1131,HCP,1478050221
-1,8.0,3331,EFX,1478050221
1,88.0,3131,C,1478050221
1,88.0,1131,COF,1478050221
-1,8.0,3111,CB,1478050221
-1,8.0,3131,PLD,1478050221
-1,8.0,1131,BXP,1478050222
-1,8.0,3131,AIG,1478050222
-1,8.0,1111,NDAQ,1478050222
1,88.0,1111,L,1478050222
1,88.0,3131,BK,1478050222
1,88.0,3311,CCI,1478050222
-1,8.0,3331,CINF,1478050222
1,88.0,1111,NTRS,1478050222
-1,8.0,3311,AFL,1478050222
-1,8.0,3311,AMP,1478050223
-1,8.0,3311,AMT,1478050223
-1,8.0,3331,O,1478050223
-1,8.0,1131,TRV,1478050223
1,88.0,3331,IVZ,1478050223
-1,8.0,3311,JPM,1478050223
-1,8.0,1131,MET,1478050223
1,88.0,3331,USB,1478050223
-1,8.0,1111,ICE,1478050223
1,88.0,3331,TROW,1478050223
-1,8.0,3131,PFG,1478050224
1,80.64,1331,CTL,1478050318
1,88.0,3131,JBHT,1478050325
-1,117.44,1111,UAL,1478050325
-1,117.44,1331,WM,1478050326
1,117.44,1131,GE,1478050326
-1,8.0,3331,GD,1478050326
1,80.64,1111,MAS,1478050326
1,88.0,1331,XYL,1478050326
1,88.0,3131,CMI,1478050326
1,88.0,3331,NOC,1478050326
1,88.0,1331,GLW,1478050326
1,88.0,3331,UPS,1478050326
1,88.0,1311,JEC,1478050326
1,80.64,3131,ALK,1478050326
-1,117.44,3331,LMT,1478050326
1,80.64,3331,MMM,1478050327
-1,8.0,3311,CAT,1478050327
1,88.0,3111,RSG,1478050327
1,88.0,3311,AYI,1478050327
1,88.0,1111,URI,1478050327
-1,8.0,3331,NLSN,1478050327
-1,8.0,1131,RHI,1478050327
1,88.0,1331,APH,1478050327
1,117.44,3331,KSU,1478050327
-1,8.0,3331,RTN,1478050327
1,88.0,1111,CSX,1478050327
1,88.0,3311,LUV,1478050327
1,80.64,1111,EXPD,1478050328
1,88.0,3331,UNP,1478050328
1,88.0,3331,R,1478050328
-1,8.0,3131,ITW,1478050328
1,88.0,3311,PNR,1478050328
1,88.0,3331,DE,1478050328
-1,8.0,3311,DHR,1478050328
1,88.0,1111,SRCL,1478050328
1,88.0,3331,FBHS,1478050328
1,8.0,1131,LEG,1478050328
1,88.0,3331,CTAS,1478050328
1,88.0,1131,EMR,1478050328
-1,8.0,3331,FDX,1478050329
1,88.0,3311,PH,1478050329
1,88.0,3331,GWW,1478050329
1,88.0,1311,ETN,1478050329
1,88.0,1131,COL,1478050329
1,80.64,3131,AAL,1478050329
-1,8.0,3131,CHRW,1478050329
1,88.0,3331,TDG,1478050329
-1,8.0,3331,NSC,1478050329
-1,8.0,1311,IR,1478050329
-1,88.0,1331,IRM,1478050329
1,88.0,3311,UTX,1478050329
1,88.0,3111,PWR,1478050330
1,88.0,3331,BA,1478050330
-1,8.0,1111,FLIR,1478050330
1,88.0,3311,VRSK,1478050330
1,80.64,3111,FLS,1478050330
1,88.0,1311,FLR,1478050330
1,88.0,3331,DOV,1478050330
1,88.0,3111,AME,1478050330
1,80.64,1111,LLL,1478050330
1,88.0,1131,ROP,1478050330
1,88.0,3311,PBI,1478050330
-1,8.0,3311,FAST,1478050331
-1,8.0,1331,DNB,1478050331
-1,8.0,3311,PCAR,1478050331
-1,8.0,3131,DAL,1478050331
1,88.0,3111,TXT,1478050331
1,88.0,1331,HON,1478050331
-1,8.0,3311,ROK,1478050331
-1,8.0,3331,NWL,1478050339
-1,8.0,3111,AMZN,1478050339
-1,8.0,1131,SNI,1478050339
-1,8.0,1331,PCLN,1478050339
-1,8.0,3331,TJX,1478050340
-1,8.0,3311,FL,1478050340
-1,8.0,3131,TSCO,1478050340
1,88.0,3311,VFC,1478050340
-1,8.0,3311,ROST,1478050340
-1,117.44,3331,CHTR,1478050341
-1,8.0,3331,WYN,1478050341
-1,8.0,3111,PVH,1478050341
1,88.0,1331,SWK,1478050341
-1,88.0,3111,DG,1478050341
-1,8.0,1131,HAR,1478050342
-1,8.0,3331,YUM,1478050342
-1,8.0,3331,MHK,1478050342
-1,8.0,1311,COH,1478050343
-1,88.0,3311,DLTR,1478050343
-1,88.0,3111,CMCSA,1478050343
-1,8.0,1111,RCL,1478050343
-1,8.0,1131,HBI,1478050343
-1,8.0,3331,HD,1478050344
1,80.64,3111,DHI,1478050344
-1,8.0,3311,AZO,1478050344
-1,8.0,3131,HOG,1478050344
-1,8.0,3131,CMS,1478050347
-1,8.0,1331,FE,1478050347
1,88.0,3311,WEC,1478050348
-1,8.0,3311,LNT,1478050348
-1,8.0,1131,NRG,1478050348
-1,8.0,3331,AWK,1478050348
-1,8.0,1111,PPL,1478050348
-1,8.0,3311,SCG,1478050349
-1,8.0,3111,SRE,1478050349
-1,8.0,1111,CNP,1478050349
1,88.0,1111,CPB,1478050353
-1,8.0,1131,TAP,1478050353
1,80.64,3331,GIS,1478050353
1,88.0,3131,MJN,1478050353
1,117.44,1131,TSN,1478050353
-1,8.0,1331,EL,1478050353
1,80.64,3331,K,1478050353
1,88.0,3331,MO,1478050354
1,88.0,3131,COST,1478050354
-1,117.44,3131,DPS,1478050354
1,88.0,3331,CAG,1478050354
-1,8.0,3331,STZ,1478050354
1,80.64,3331,RAI,1478050354
1,88.0,3111,BFB,1478050354
1,88.0,1331,HRL,1478050354
1,88.0,3311,WFM,1478050354
-1,88.0,3311,CLX,1478050354
-1,8.0,1111,KO,1478050354
1,88.0,3131,KR,1478050354
-1,88.0,3331,HSY,1478050355
1,80.64,3131,SYY,1478050355
1,80.64,3311,PG,1478050355
1,88.0,3331,PM,1478050355
-1,8.0,3331,KMB,1478050355
1,88.0,3311,CL,1478050355
1,88.0,3331,MKC,1478050355
1,88.0,3331,CVS,1478050355
1,80.64,3331,CHD,1478050355
1,88.0,3331,MNST,1478050355
-1,8.0,3331,PEP,1478050355
1,80.64,1131,WMT,1478050356
1,80.64,3311,MDLZ,1478050356
-1,8.0,3331,SJM,1478050356
1,88.0,3331,ADM,1478050356
-1,117.44,3111,AGN,1478050361
-1,118.4,3311,VRTX,1478050362
1,80.64,3111,ENDP,1478050362
-1,8.0,1331,VAR,1478050362
1,80.64,3111,XRAY,1478050362
-1,8.0,3131,JNJ,1478050362
1,80.64,3331,HUM,1478050362
1,88.0,1311,HCA,1478050362
-1,117.44,3131,PRGO,1478050362
1,80.64,1311,UHS,1478050362
1,80.64,3111,AMGN,1478050362
1,88.0,3331,BSX,1478050363
1,80.64,3331,MDT,1478050363
-1,8.0,1311,ILMN,1478050363
1,80.64,1331,BAX,1478050363
1,88.0,1311,CAH,1478050363
1,80.64,1331,LH,1478050363
-1,117.44,3331,CELG,1478050363
1,80.64,1331,A,1478050363
1,88.0,1111,ABC,1478050363
1,80.64,1131,STJ,1478050363
-1,8.0,3311,ABT,1478050363
-1,117.44,1111,CERN,1478050364
1,88.0,3311,MRK,1478050364
1,80.64,3331,BMY,1478050364
-1,8.0,1311,EW,1478050364
1,80.64,3111,MTD,1478050364
1,88.0,3111,DGX,1478050364
1,80.64,3311,UNH,1478050364
1,88.0,3131,BIIB,1478050364
-1,8.0,3311,HOLX,1478050364
1,88.0,3331,ALXN,1478050364
1,80.64,1111,MCK,1478050364
1,80.64,3331,SYK,1478050364
1,88.0,3331,AET,1478050365
1,117.44,1131,ESRX,1478050365
1,88.0,3311,DVA,1478050365
1,88.0,3131,COO,1478050365
-1,8.0,1131,CI,1478050365
-1,8.0,3331,WAT,1478050365
1,80.64,1111,PDCO,1478050365
1,88.0,3331,MYL,1478050365
1,88.0,3331,HSIC,1478050365
-1,88.0,1111,REGN,1478050365
-1,8.0,3331,LLY,1478050365
1,88.0,3331,BCR,1478050366
1,88.0,3331,TMO,1478050366
1,88.0,1111,BDX,1478050366
1,80.64,1331,GILD,1478050366
-1,8.0,3331,PKI,1478050366
1,88.0,3331,CNC,1478050366
1,88.0,3331,ISRG,1478050366
1,88.0,3311,PFE,1478050366
-1,8.0,3331,FMC,1478050369
-1,8.0,1111,IFF,1478050369
-1,8.0,3331,VMC,1478050370
1,88.0,1111,NEM,1478050371
-1,8.0,1131,NTAP,1478050377
1,88.0,1331,FSLR,1478050377
-1,8.0,1311,FFIV,1478050377
-1,8.0,1131,MA,1478050377
1,80.64,3311,MU,1478050377
-1,8.0,3311,MSFT,1478050377
1,88.0,3331,V,1478050377
1,88.0,1131,JNPR,1478050377
1,80.64,1311,ADBE,1478050377
1,88.0,3311,IBM,1478050377
-1,8.0,3331,FIS,1478050378
1,80.64,3311,STX,1478050378
-1,8.0,3131,GOOGL,1478050378
-1,8.0,3331,HRS,1478050378
-1,8.0,1111,RHT,1478050378
-1,8.0,3111,NVDA,1478050378
1,8.0,1311,AVGO,1478050378
1,8.0,1111,SYMC,1478050378
1,88.0,3311,PAYX,1478050378
1,88.0,1111,EA,1478050378
1,88.0,3311,EQIX,1478050378
1,88.0,3131,ADSK,1478050378
1,80.64,3111,XLNX,1478050379
1,80.64,1311,KLAC,1478050379
1,88.0,3111,TSS,1478050379
-1,117.44,1111,ATVI,1478050379
-1,8.0,3111,AKAM,1478050379
1,80.64,1111,INTC,1478050379
1,88.0,3111,INTU,1478050379
1,117.44,1311,NFLX,1478050379
1,80.64,3311,AAPL,1478050379
1,80.64,3131,WU,1478050379
1,88.0,3131,CTSH,1478050379
1,80.64,3311,GPN,1478050380
1,88.0,1311,CTXS,1478050380
1,80.64,3311,AMAT,1478050380
-1,117.44,1111,SWKS,1478050380
1,80.64,1311,CRM,1478050380
1,80.64,3331,QCOM,1478050380
1,88.0,1111,XRX,1478050380
1,88.0,3131,MCHP,1478050380
1,80.64,1111,FISV,1478050380
1,80.64,1111,CA,1478050380
1,80.64,1111,TDC,1478050380
1,80.64,3111,HPQ,1478050381
1,88.0,3111,CSCO,1478050381
-1,117.44,3311,WDC,1478050381
1,80.64,3331,VRSN,1478050381
1,80.64,1311,LRCX,1478050381
-1,8.0,1331,YHOO,1478050381
-1,8.0,1311,ACN,1478050381
1,80.64,1111,TEL,1478050381
1,80.64,1111,LLTC,1478050381
1,88.0,3331,ADS,1478050381
-1,8.0,3311,ADP,1478050381
1,80.64,3111,ADI,1478050381
-1,8.0,3311,EBAY,1478050382
1,88.0,3311,MSI,1478050382
1,88.0,1311,TXN,1478050382
-1,8.0,1111,ORCL,1478050382
1,88.0,3331,EOG,1478050386
1,88.0,3331,TSO,1478050386
1,88.0,3231,VLO,1478050386
1,88.0,3311,FTI,1478050386
1,88.0,1331,NFX,1478050386
-1,8.0,3331,OKE,1478050386
-1,8.0,3111,NOV,1478050386
-1,8.0,3111,XOM,1478050386
1,88.0,1111,CHK,1478050386
-1,8.0,3131,MRO,1478050386
-1,8.0,1311,APC,1478050387
1,88.0,1331,APA,1478050387
1,88.0,3131,OXY,1478050387
-1,8.0,1111,MUR,1478050387
1,117.44,1111,BHI,1478050387
1,80.64,1111,SWN,1478050387
-1,8.0,1311,SLB,1478050387
1,80.64,1111,RIG,1478050387
-1,8.0,1331,HAL,1478050387
-1,117.44,1111,EQT,1478050387
1,88.0,3131,COP,1478050388
1,88.0,1311,DVN,1478050388
1,88.0,3131,KMI,1478050388
1,88.0,1131,COG,1478050388
-1,8.0,1331,HES,1478050388
1,88.0,1331,CVX,1478050388
1,80.64,3111,SE,1478050388
1,80.64,1131,WMB,1478050388
1,80.64,3111,CXO,1478050388
1,88.0,3331,MPC,1478050388
1,80.64,1111,RRC,1478050388
1,88.0,1111,NBL,1478050388
1,88.0,3331,HP,1478050389
1,88.0,3111,XEC,1478050389
1,88.0,3311,PXD,1478050389
1,80.64,3131,MS,1478050397
1,88.0,3311,SCHW,1478050397
1,117.44,3331,BAC,1478050398
1,88.0,1331,RF,1478050399
1,80.64,3131,BRKB,1478050399
1,118.4,3331,WFC,1478050399
1,80.64,1131,AXP,1478050400
1,118.4,3131,C,1478050401
-1,8.0,1311,PSA,1478050401
-1,8.0,3331,TMK,1478050401
-1,8.0,1131,AIZ,1478050401
-1,8.0,3331,AIV,1478050402
1,80.64,3131,AIG,1478050402
1,118.4,3131,BK,1478050402
-1,8.0,3331,AMG,1478050402
1,80.64,3311,JPM,1478050403
1,80.64,1131,MET,1478050403
1,118.4,3331,USB,1478050403
1,110.9632,1331,CTL,1478050406
-1,88.0,3131,VZ,1478050407
1,117.44,3131,JBHT,1478050408
1,0.6399999999999935,3331,GD,1478050408
1,117.44,1331,XYL,1478050409
-1,8.0,1131,CMI,1478050409
-1,8.0,3131,NOC,1478050409
-1,88.0,1331,UPS,1478050409
-1,88.0,1331,JEC,1478050409
-1,143.3472,3331,LMT,1478050409
-1,8.0,1311,CAT,1478050409
1,37.44,3111,RSG,1478050409
1,60.64,1131,RHI,1478050410
1,63.347199999999994,3331,KSU,1478050410
1,0.6399999999999935,3331,RTN,1478050410
1,37.44,3311,LUV,1478050410
1,88.0,3111,R,1478050411
-1,8.0,1111,DHR,1478050411
1,37.44,1111,SRCL,1478050411
-1,87.03999999999999,3311,FBHS,1478050411
-1,88.0,1131,LEG,1478050411
1,37.44,3331,CTAS,1478050411
-1,88.0,1111,EMR,1478050411
-1,88.0,1331,FDX,1478050411
-1,88.0,1111,PH,1478050411
-1,88.0,3311,GWW,1478050412
1,8.0,1111,COL,1478050412
1,110.9632,3131,AAL,1478050412
1,80.64,3131,CHRW,1478050412
-1,8.0,3311,TDG,1478050412
-1,88.0,1131,NSC,1478050412
1,88.0,1311,IR,1478050412
-1,88.0,1311,IRM,1478050412
1,117.44,3331,BA,1478050412
-1,8.0,3331,VRSK,1478050413
-1,8.0,3131,DOV,1478050413
-1,88.0,1111,AME,1478050413
1,110.9632,1111,LLL,1478050413
-1,8.0,3331,ROP,1478050413
1,37.44,3311,PBI,1478050413
1,88.0,3311,FAST,1478050413
1,80.64,1331,DNB,1478050414
1,0.6399999999999935,3131,DAL,1478050414
-1,7.039999999999992,3131,TXT,1478050414
-1,88.0,1311,HON,1478050414
-1,0.6399999999999935,3111,ROK,1478050414
1,8.0,1111,JWN,1478050416
-1,88.0,3111,BWA,1478050416
1,88.0,3331,NWL,1478050416
-1,0.6399999999999935,3331,AMZN,1478050416
-1,88.0,3311,MAT,1478050416
-1,8.0,1131,CMG,1478050416
-1,8.0,1111,PCLN,1478050416
1,80.64,3311,GRMN,1478050417
-1,88.0,3111,CBS,1478050417
1,0.6399999999999935,3311,TJX,1478050417
1,8.0,3111,FL,1478050417
-1,88.0,3331,WHR,1478050417
1,0.6399999999999935,1311,BBBY,1478050417
1,80.64,1111,F,1478050417
1,8.0,3111,TSCO,1478050417
-1,8.0,3331,VFC,1478050417
1,88.0,3331,IPG,1478050418
1,0.6399999999999935,3311,ROST,1478050418
-1,88.0,1331,DISCA,1478050418
-1,88.0,1331,ORLY,1478050418
-1,88.0,3131,WYN,1478050418
1,0.6399999999999935,3311,BBY,1478050418
1,8.0,1131,EXPE,1478050418
1,88.0,1311,SWK,1478050419
-1,118.4,3111,DG,1478050419
1,0.6399999999999935,3111,TGT,1478050419
1,0.6399999999999935,3331,MCD,1478050419
1,80.64,3331,SPLS,1478050419
1,8.0,3311,GPC,1478050419
1,88.0,1131,HAR,1478050419
-1,88.0,3311,YUM,1478050420
1,0.6399999999999935,3131,MHK,1478050420
-1,80.64,3311,FOX,1478050420
1,0.6399999999999935,1331,ULTA,1478050420
1,88.0,1111,COH,1478050420
-1,80.64,1111,KMX,1478050420
-1,117.44,3311,DLTR,1478050420
-1,118.4,3111,CMCSA,1478050420
1,0.6399999999999935,3331,LOW,1478050421
-1,88.0,3311,DIS,1478050421
1,88.0,1111,JCI,1478050421
-1,88.0,1311,DRI,1478050421
1,0.6399999999999935,1311,CCL,1478050421
1,0.6399999999999935,3331,HD,1478050421
1,0.6399999999999935,1311,UA,1478050422
-1,88.0,3311,VIAB,1478050422
1,8.0,3311,AZO,1478050422
-1,88.0,3331,TWX,1478050422
-1,88.0,1111,HOG,1478050422
1,0.6399999999999935,1131,AN,1478050422
1,88.0,3311,NKE,1478050422
-1,80.64,3131,SO,1478050423
-1,88.0,3111,WEC,1478050423
-1,88.0,1311,ED,1478050423
-1,88.0,3111,DUK,1478050424
-1,80.64,1111,NRG,1478050424
-1,8.0,1311,EXC,1478050424
-1,88.0,1131,AEP,1478050424
1,8.0,1311,ETR,1478050424
-1,88.0,1131,D,1478050424
-1,88.0,1311,PEG,1478050424
-1,88.0,3311,NEE,1478050424
-1,88.0,1311,XEL,1478050425
1,37.44,1111,CPB,1478050426
1,88.0,1131,TAP,1478050426
-1,8.0,3111,MJN,1478050426
1,143.3472,1131,TSN,1478050426
-1,88.0,3111,COST,1478050426
1,7.039999999999992,3311,CAG,1478050426
-1,8.0,1131,HRL,1478050427
-1,88.0,3331,CLX,1478050427
-1,88.0,3111,KR,1478050427
1,32.512,3311,PG,1478050427
-1,8.0,3311,PM,1478050427
1,0.6399999999999935,3331,KMB,1478050427
-1,8.0,3131,CL,1478050428
1,30.963199999999993,3331,CHD,1478050428
-1,88.0,1331,SJM,1478050428
-1,8.0,3131,ADM,1478050428
1,80.64,3131,JNJ,1478050430
1,30.963199999999993,3331,HUM,1478050430
-1,8.0,1331,HCA,1478050430
-1,141.952,3131,PRGO,1478050430
1,110.9632,1311,UHS,1478050430
1,32.512,3111,AMGN,1478050430
1,30.963199999999993,1331,BAX,1478050431
1,117.44,1311,CAH,1478050431
1,30.963199999999993,1131,STJ,1478050431
1,0.6399999999999935,3311,ABT,1478050431
1,30.963199999999993,3331,BMY,1478050432
1,118.4,3111,DGX,1478050432
1,30.963199999999993,3311,UNH,1478050432
1,117.44,3131,BIIB,1478050432
1,88.0,3311,HOLX,1478050432
-1,8.0,3311,ALXN,1478050432
-1,88.0,1111,AET,1478050432
-1,7.039999999999992,3331,DVA,1478050433
1,37.44,3131,COO,1478050433
-1,8.0,3131,WAT,1478050433
1,7.039999999999992,3311,MYL,1478050433
1,8.0,1131,REGN,1478050433
1,80.64,3331,LLY,1478050433
1,118.4,3331,BCR,1478050433
1,110.9632,1331,GILD,1478050434
-1,8.0,3311,CNC,1478050434
-1,88.0,3311,BLL,1478050435
-1,8.0,1131,FCX,1478050435
-1,80.64,1331,FMC,1478050435
-1,8.0,3311,APD,1478050435
-1,88.0,3131,NUE,1478050435
-1,88.0,1111,PX,1478050436
-1,8.0,1311,MOS,1478050436
-1,8.0,1331,PPG,1478050436
1,117.44,1111,AA,1478050436
